pdb_id,Hchain,Lchain,model,antigen_chain,antigen_type,antigen_het_name,antigen_name,short_header,date,compound,organism,heavy_species,light_species,antigen_species,authors,resolution,method,r_free,r_factor,scfv,engineered,heavy_subclass,light_subclass,light_ctype,affinity,delta_g,affinity_method,temperature,pmid
7vq0,F,,0,C,protein,,spike glycoprotein,VIRAL PROTEIN/IMMUNE SYSTEM,07/20/22,Cryo-EM structure of the SARS-CoV-2 spike protein (2-up RBD) bound to neutralizing nanobodies P86,Severe acute respiratory syndrome coronavirus 2; Vicugna pacos,vicugna pacos,,severe acute respiratory syndrome coronavirus2 ,"Maeda, R., Fujita, J., Konishi, Y., Kazuma, Y., Yamazaki, H., Anzai, I., Yamaguchi, K., Kasai, K., Nagata, K., Yamaoka, Y., Miyakawa, K., Ryo, A., Shirakawa, K., Makino, F., Matsuura, Y., Inoue, T., Imura, A., Namba, K., Takaori-Kondo, A.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV1,,,,,,,
7wo4,D,E,0,B,protein,,spike glycoprotein,VIRAL PROTEIN,07/20/22,SARS-CoV-2 Spike in complex with IgG 553-15 (S-553-15 dimer trimer ),Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV6,Lambda,,,,,
7wo4,F,G,0,A,protein,,spike glycoprotein,VIRAL PROTEIN,07/20/22,SARS-CoV-2 Spike in complex with IgG 553-15 (S-553-15 dimer trimer ),Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV6,Lambda,,,,,
7wo4,H,I,0,C,protein,,spike glycoprotein,VIRAL PROTEIN,07/20/22,SARS-CoV-2 Spike in complex with IgG 553-15 (S-553-15 dimer trimer ),Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV6,Lambda,,,,,
7wo4,M,N,0,K,protein,,spike glycoprotein,VIRAL PROTEIN,07/20/22,SARS-CoV-2 Spike in complex with IgG 553-15 (S-553-15 dimer trimer ),Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV6,Lambda,,,,,
7wo4,O,P,0,J,protein,,spike glycoprotein,VIRAL PROTEIN,07/20/22,SARS-CoV-2 Spike in complex with IgG 553-15 (S-553-15 dimer trimer ),Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV6,Lambda,,,,,
7wo4,Q,R,0,L,protein,,spike glycoprotein,VIRAL PROTEIN,07/20/22,SARS-CoV-2 Spike in complex with IgG 553-15 (S-553-15 dimer trimer ),Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV6,Lambda,,,,,
7wo5,D,E,0,B,protein,,spike glycoprotein,VIRAL PROTEIN,07/20/22,SARS-CoV-2 Spike in complex with IgG 553-15 (S-553-15 trimer),Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV6,Lambda,,,,,
7wo5,F,G,0,A,protein,,spike glycoprotein,VIRAL PROTEIN,07/20/22,SARS-CoV-2 Spike in complex with IgG 553-15 (S-553-15 trimer),Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV6,Lambda,,,,,
7wo5,H,I,0,C,protein,,spike glycoprotein,VIRAL PROTEIN,07/20/22,SARS-CoV-2 Spike in complex with IgG 553-15 (S-553-15 trimer),Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV6,Lambda,,,,,
7wo7,A,B,0,C,protein,,spike protein s1,VIRAL PROTEIN,07/20/22,Locally refined region of SARS-CoV-2 Spike in complex with IgG 553-15,Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV6,Lambda,,,,,
7woa,D,B,0,A,protein,,spike glycoprotein,VIRAL PROTEIN,07/20/22,SARS-CoV-2 Spike in complex with IgG 553-60 (1-up trimer),Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV1,IGKV3,Kappa,,,,,
7woa,F,G,0,C,protein,,spike glycoprotein,VIRAL PROTEIN,07/20/22,SARS-CoV-2 Spike in complex with IgG 553-60 (1-up trimer),Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV1,IGKV3,Kappa,,,,,
7wob,D,B,0,A,protein,,spike glycoprotein,VIRAL PROTEIN,07/20/22,SARS-CoV-2 Spike in complex with IgG 553-60 (2-up trimer),Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV1,IGKV3,Kappa,,,,,
7wob,F,G,0,C,protein,,spike glycoprotein,VIRAL PROTEIN,07/20/22,SARS-CoV-2 Spike in complex with IgG 553-60 (2-up trimer),Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV1,IGKV3,Kappa,,,,,
7wob,H,I,0,E,protein,,spike glycoprotein,VIRAL PROTEIN,07/20/22,SARS-CoV-2 Spike in complex with IgG 553-60 (2-up trimer),Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV1,IGKV3,Kappa,,,,,
7woc,A,B,0,C,protein,,spike protein s1,VIRAL PROTEIN,07/20/22,"S-mAb60 NRAb1 local-refined map"""" into """"Locally refined region of SARS-CoV-2 Spike in complex with IgG 553-60",Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV1,IGKV3,Kappa,,,,,
7wog,A,B,0,C,protein,,spike protein s1,VIRAL PROTEIN,07/20/22,SARS-CoV-2 Omicron S monomer complexed with 553-49,Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV6,Lambda,,,,,
7wp0,H,L,0,F,protein,,spike protein s1,IMMUNE SYSTEM/VIRAL PROTEIN,07/20/22,Cryo-EM structure of SARS-CoV-2 Delta S6P trimer in complex with neutralizing antibody VacW-209 (local refinement),Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zheng, Q., Sun, H., Ju, B., Zhang, Z., Li, S., Xia, N.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV1,Lambda,,,,,
7wp2,H,L,0,F,protein,,spike protein s1,IMMUNE SYSTEM/VIRAL PROTEIN,07/20/22,Cryo-EM structure of SARS-CoV-2 C.1.2 S6P trimer in complex with neutralizing antibody VacW-209 (local refinement),Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zheng, Q., Sun, H., Ju, B., Zhang, Z., Li, S., Xia, N.",3.52,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV1,Lambda,,,,,
7xou,N,,0,A | B,protein | protein,NA | NA,isoform gnas-2 of guanine nucleotide-binding protein g(s)subunit alpha isoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 ,NEUROPEPTIDE,07/20/22,Structural insights into human brain gut peptide cholecystokinin receptors,Homo sapiens; SYNTHETIC CONSTRUCT,synthetic construct,,homo sapiens | homo sapiens,"Ding, Y., Zhang, H., Liao, Y., Chen, L., Ji, S.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,,,,,,,
7xov,N,,0,A | B,protein | protein,NA | NA,isoform gnas-2 of guanine nucleotide-binding protein g(s)subunit alpha isoforms short  | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 ,NEUROPEPTIDE,07/20/22,Structural insights into human brain gut peptide cholecystokinin receptors,Homo sapiens; SYNTHETIC CONSTRUCT,synthetic construct,,homo sapiens | homo sapiens,"Ding, Y., Zhang, H., Liao, Y., Chen, L., Ji, S.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,,,,,,,
7xow,E,e,0,A | B,protein | protein,NA | NA,guanine nucleotide-binding protein g(q) subunit alpha | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 ,NEUROPEPTIDE,07/20/22,Structural insights into human brain gut peptide cholecystokinin receptors,Homo sapiens; Mus musculus; SYNTHETIC CONSTRUCT,mus musculus,,homo sapiens | homo sapiens,"Ding, Y., Zhang, H., Liao, Y., Chen, L., Ji, S.",0.0,ELECTRON MICROSCOPY,,,True,True,unknown,unknown,unknown,,,,,
7xox,E,e,0,A | B,protein | protein,NA | NA,guanine nucleotide-binding protein g(q) subunit alpha | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 ,NEUROPEPTIDE,07/20/22,Structural insights into human brain gut peptide cholecystokinin receptors,Homo sapiens; Mus musculus; SYNTHETIC CONSTRUCT,mus musculus,,homo sapiens | homo sapiens,"Ding, Y., Zhang, H., Liao, Y., Chen, L., Ji, S.",0.0,ELECTRON MICROSCOPY,,,True,True,unknown,unknown,unknown,,,,,
7y12,S,s,0,A | B,protein | protein,NA | NA,guanine nucleotide-binding protein g(i) subunit alpha-1 | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 ,SIGNALING PROTEIN,07/20/22,Cryo-EM structure of MrgD-Gi complex with beta-alanine,Escherichia coli; Homo sapiens; Mus musculus; synthetic construct,synthetic construct,,homo sapiens | mus musculus,"Suzuki, S., Iida, M., Kawamoto, A., Oshima, A.",0.0,ELECTRON MICROSCOPY,,,True,True,unknown,unknown,unknown,,,,,
7y15,S,s,0,A | B,protein | protein,NA | NA,guanine nucleotide-binding protein g(i) subunit alpha-1 | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 ,SIGNALING PROTEIN,07/20/22,Cryo-EM structure of apo-state MrgD-Gi complex,Escherichia coli; Homo sapiens; Mus musculus; synthetic construct,synthetic construct,,homo sapiens | mus musculus,"Suzuki, S., Iida, M., Kawamoto, A., Oshima, A.",0.0,ELECTRON MICROSCOPY,,,True,True,unknown,unknown,unknown,,,,,
7fbi,H,L,0,A,protein,,envelope glycoprotein b,VIRAL PROTEIN,07/13/22,Cryo-EM structure of EBV gB in complex with nAbs 3A3 and 3A5,Epstein-Barr virus (strain GD1); Oryctolagus cuniculus,oryctolagus cuniculus,oryctolagus cuniculus,epstein-barr virus (strain gd1),"Zheng, Q., Li, S., Zha, Z., Hong, J., Chen, Y., Zhang, X.",3.9,ELECTRON MICROSCOPY,,,False,True,IGHV1,IGKV1,Kappa,,,,,
7fbi,N,M,0,A,protein,,envelope glycoprotein b,VIRAL PROTEIN,07/13/22,Cryo-EM structure of EBV gB in complex with nAbs 3A3 and 3A5,Epstein-Barr virus (strain GD1); Oryctolagus cuniculus,oryctolagus cuniculus,oryctolagus cuniculus,epstein-barr virus (strain gd1),"Zheng, Q., Li, S., Zha, Z., Hong, J., Chen, Y., Zhang, X.",3.9,ELECTRON MICROSCOPY,,,False,True,IGHV1,IGKV1,Kappa,,,,,
7wj5,E,e,0,A | B,protein | protein,NA | NA,guanine nucleotide-binding protein g(i) subunit alpha-1 | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 ,MEMBRANE PROTEIN/IMMUNE SYSTEM,07/13/22,Cryo-EM structure of human somatostatin receptor 2 complex with its agonist somatostatin delineates the ligand binding specificity,Escherichia coli; Homo sapiens,homo sapiens,,homo sapiens | homo sapiens,"Heo, Y.S., Yoon, E.J., Jeon, Y.E., Yun, J.-H., Ishimoto, N., Woo, H., Park, S.Y., Song, J., Lee, W.T.",0.0,ELECTRON MICROSCOPY,,,True,True,unknown,unknown,unknown,,,,,
7wjz,A,C,0,B,protein,,spike glycoprotein,VIRAL PROTEIN,07/13/22,Omicron Spike bitrimer with 6m6 antibody,Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV3,Lambda,,,,,
7wjz,D,N,0,I,protein,,spike glycoprotein,VIRAL PROTEIN,07/13/22,Omicron Spike bitrimer with 6m6 antibody,Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV3,Lambda,,,,,
7wjz,E,O,0,J,protein,,spike glycoprotein,VIRAL PROTEIN,07/13/22,Omicron Spike bitrimer with 6m6 antibody,Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV3,Lambda,,,,,
7wjz,F,P,0,K,protein,,spike glycoprotein,VIRAL PROTEIN,07/13/22,Omicron Spike bitrimer with 6m6 antibody,Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV3,Lambda,,,,,
7wjz,G,Q,0,L,protein,,spike glycoprotein,VIRAL PROTEIN,07/13/22,Omicron Spike bitrimer with 6m6 antibody,Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV3,Lambda,,,,,
7wjz,H,R,0,M,protein,,spike glycoprotein,VIRAL PROTEIN,07/13/22,Omicron Spike bitrimer with 6m6 antibody,Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV3,Lambda,,,,,
7wk0,A,B,0,C,protein,,spike protein s1,VIRAL PROTEIN,07/13/22,Local refine of Omicron spike bitrimer with 6m6 antibody,Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV3,Lambda,,,,,
7wk0,D,E,0,F,protein,,spike protein s1,VIRAL PROTEIN,07/13/22,Local refine of Omicron spike bitrimer with 6m6 antibody,Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zhan, W.Q., Zhang, X., Chen, Z.G., Sun, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV3,Lambda,,,,,
7won,H,L,0,F,protein,,spike protein s1,VIRAL PROTEIN/IMMUNE SYSTEM,07/13/22,Cryo-EM structure of SARS-CoV-2 S2P trimer in complex with neutralizing antibody VacW-209 (local refinement),Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zheng, Q., Sun, H., Ju, B., Zhang, Z., Li, S., Xia, N.",3.9,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV1,Lambda,,,,,
7wp1,H,L,0,F,protein,,spike protein s1,IMMUNE SYSTEM/VIRAL PROTEIN,07/13/22,Cryo-EM structure of SARS-CoV-2 Mu S6P trimer in complex with neutralizing antibody VacW-209 (local refinement),Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zheng, Q., Sun, H., Ju, B., Zhang, Z., Li, S., Xia, N.",3.77,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV1,Lambda,,,,,
7wp5,H,L,0,F,protein,,spikeprotein s1,IMMUNE SYSTEM/VIRAL PROTEIN,07/13/22,Cryo-EM structure of SARS-CoV-2 Omicron S6P trimer in complex with neutralizing antibody VacW-209 (local refinement),Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Zheng, Q., Sun, H., Ju, B., Zhang, Z., Li, S., Xia, N.",3.9,ELECTRON MICROSCOPY,,,False,True,IGHV3,IGLV1,Lambda,,,,,
7x6a,H,L,0,B,protein,,spike glycoprotein,VIRAL PROTEIN/IMMUNE SYSTEM,07/13/22,SARS-CoV-2 BA.2 variant spike protein in complex with Fab BD55-5840,Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Wang, X., Wang, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV7,IGKV3,Kappa,,,,,
7x6a,G,J,0,D,protein,,spike glycoprotein,VIRAL PROTEIN/IMMUNE SYSTEM,07/13/22,SARS-CoV-2 BA.2 variant spike protein in complex with Fab BD55-5840,Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Wang, X., Wang, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV7,IGKV3,Kappa,,,,,
7x6a,I,K,0,A,protein,,spike glycoprotein,VIRAL PROTEIN/IMMUNE SYSTEM,07/13/22,SARS-CoV-2 BA.2 variant spike protein in complex with Fab BD55-5840,Homo sapiens; Severe acute respiratory syndrome coronavirus 2,homo sapiens,homo sapiens,severe acute respiratory syndrome coronavirus2 ,"Wang, X., Wang, L.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV7,IGKV3,Kappa,,,,,
7xbd,E,e,0,B | C,protein | protein,NA | NA,guanine nucleotide-binding protein g(q) subunit alpha | guanine nucleotide-binding protein g(i)/g(s)/g(t) subunitbeta-1 ,MEMBRANE PROTEIN,07/13/22,Cryo-EM structure of human galanin receptor 2,Homo sapiens; Mus musculus; SYNTHETIC CONSTRUCT,mus musculus,,homo sapiens | homo sapiens,"Ishimoto, N., Kita, S., Park, S.Y.",0.0,ELECTRON MICROSCOPY,,,True,True,unknown,unknown,unknown,,,,,
7xqv,B,,0,A,protein,,rhoa,PROTEIN BINDING,07/13/22,The complex of nanobody Rh57 binding to GTP-bound RhoA active form,Camelus bactrianus; Rattus norvegicus,camelus bactrianus,,rattus norvegicus,"Zhang, Y.R., Liu, R., Ding, Y.",2.76,X-RAY DIFFRACTION,0.270,0.220,False,True,IGHV3,,,,,,,
7z6v,X,,0,A,protein,,"spike glycoprotein,fibritin",ANTIVIRAL PROTEIN,07/13/22,CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11 nanobody complex,Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2,lama glama,,"severe acute respiratory syndrome coronavirus2, escherichia virus t4 ","Weckener, M., Naismith, J.H., Vogirala, V.K.",3.1,ELECTRON MICROSCOPY,,,False,True,IGHV1,,,,,,,
7z6v,Y,,0,B,protein,,"spike glycoprotein,fibritin",ANTIVIRAL PROTEIN,07/13/22,CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11 nanobody complex,Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2,lama glama,,"severe acute respiratory syndrome coronavirus2, escherichia virus t4 ","Weckener, M., Naismith, J.H., Vogirala, V.K.",3.1,ELECTRON MICROSCOPY,,,False,True,IGHV1,,,,,,,
7z6v,Z,,0,C,protein,,"spike glycoprotein,fibritin",ANTIVIRAL PROTEIN,07/13/22,CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11 nanobody complex,Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2,lama glama,,"severe acute respiratory syndrome coronavirus2, escherichia virus t4 ","Weckener, M., Naismith, J.H., Vogirala, V.K.",3.1,ELECTRON MICROSCOPY,,,False,True,IGHV1,,,,,,,
7z7x,F,,0,C,protein,,"spike glycoprotein,fibritin",ANTIVIRAL PROTEIN,07/13/22,CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-H6 nanobody complex,Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2,lama glama,,"severe acute respiratory syndrome coronavirus2, escherichia virus t4 ","Weckener, M., Naismith, J.H.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV1,,,,,,,
7z7x,D,,0,A,protein,,"spike glycoprotein,fibritin",ANTIVIRAL PROTEIN,07/13/22,CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-H6 nanobody complex,Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2,lama glama,,"severe acute respiratory syndrome coronavirus2, escherichia virus t4 ","Weckener, M., Naismith, J.H.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV1,,,,,,,
7z7x,E,,0,B,protein,,"spike glycoprotein,fibritin",ANTIVIRAL PROTEIN,07/13/22,CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-H6 nanobody complex,Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2,lama glama,,"severe acute respiratory syndrome coronavirus2, escherichia virus t4 ","Weckener, M., Naismith, J.H.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV1,,,,,,,
7z85,F,,0,C,protein,,"spike glycoprotein,fibritin",ANTIVIRAL PROTEIN,07/13/22,CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-B5 nanobody complex,Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2,lama glama,,"severe acute respiratory syndrome coronavirus2, escherichia virus t4 ","Weckener, M., Naismith, J.H.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV1,,,,,,,
7z85,D,,0,A,protein,,"spike glycoprotein,fibritin",ANTIVIRAL PROTEIN,07/13/22,CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-B5 nanobody complex,Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2,lama glama,,"severe acute respiratory syndrome coronavirus2, escherichia virus t4 ","Weckener, M., Naismith, J.H.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV1,,,,,,,
7z85,E,,0,B,protein,,"spike glycoprotein,fibritin",ANTIVIRAL PROTEIN,07/13/22,CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-B5 nanobody complex,Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2,lama glama,,"severe acute respiratory syndrome coronavirus2, escherichia virus t4 ","Weckener, M., Naismith, J.H.",0.0,ELECTRON MICROSCOPY,,,False,True,IGHV1,,,,,,,
7z86,X,,0,A,protein,,"spike glycoprotein,fibritin",ANTIVIRAL PROTEIN,07/13/22,CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-H4 Q98R H100E nanobody complex in 1Up2Down conformation,Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2,lama glama,,"severe acute respiratory syndrome coronavirus2, escherichia virus t4 ","Weckener, M., Naismith, J.H.",3.4,ELECTRON MICROSCOPY,,,False,True,IGHV1,,,,,,,
7z86,Y,,0,B,protein,,"spike glycoprotein,fibritin",ANTIVIRAL PROTEIN,07/13/22,CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-H4 Q98R H100E nanobody complex in 1Up2Down conformation,Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2,lama glama,,"severe acute respiratory syndrome coronavirus2, escherichia virus t4 ","Weckener, M., Naismith, J.H.",3.4,ELECTRON MICROSCOPY,,,False,True,IGHV1,,,,,,,
7z86,Z,,0,C,protein,,"spike glycoprotein,fibritin",ANTIVIRAL PROTEIN,07/13/22,CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-H4 Q98R H100E nanobody complex in 1Up2Down conformation,Escherichia virus T4; Lama glama; Severe acute respiratory syndrome coronavirus 2,lama glama,,"severe acute respiratory syndrome coronavirus2, escherichia virus t4 ","Weckener, M., Naismith, J.H.",3.4,ELECTRON MICROSCOPY,,,False,True,IGHV1,,,,,,,
7z9q,D,,0,C,protein,,"spike glycoprotein,fibritin",ANTIVIRAL PROTEIN,07/13/22,CRYO-EM STRUCTURE OF SARS-COV-2 SPIKE : H11-A10 nanobody complex,Lama glama; Severe acute respiratory syndrome coronavirus 2; Tequatrovirus T4,lama glama,,"severe acute respiratory syndrome coronavirus2, tequatrovirus t4 ","Weckener, M., Naismith, J.H.",3.6,ELECTRON MICROSCOPY,,,False,True,IGHV1,,,,,,,
